sic_description,n_events,n_tickers,n_capture_ret_abn,n_capture_ret,n_drop_ratio,event_share_of_analysis,ticker_share_of_analysis,mean_capture_ret_abn,stddev_capture_ret_abn,se_capture_ret_abn,ci95_low_capture_ret_abn,ci95_high_capture_ret_abn,median_capture_ret_abn,p25_capture_ret_abn,p75_capture_ret_abn,positive_capture_ret_abn_rate,mean_capture_ret,median_capture_ret,mean_drop_ratio,median_drop_ratio,p25_drop_ratio,p75_drop_ratio,drop_ratio_lt_1_rate,low_n_flag,low_ticker_flag,report_eligible_flag
"SPORTING & ATHLETIC GOODS, NEC",93,5,93,93,93,0.0005765797043944053,0.0005549389567147614,0.0007890817222281382,0.008617075033707018,0.0008935490559821729,-0.0009622744274969207,0.002540437871953197,-5.8369784514254296e-05,-0.004095069268696086,0.00521904682619777,0.4838709677419355,0.000620014972315952,0.0004930966469427673,0.7970289907016159,0.8787878787878761,0.0,1.7999999999999972,0.5268817204301075,False,False,True
AGRICULTURAL CHEMICALS,92,5,92,92,92,0.0005703799226267236,0.0005549389567147614,0.000917828798570466,0.009061852842983189,0.0009447634679130384,-0.0009339075985390894,0.0027695651956800215,-0.0003120611574679061,-0.004545185281590725,0.00673682905694941,0.4891304347826087,0.002809435795667686,0.0020609318996416604,0.507198788454536,0.7601990049751244,-0.04999999999999005,1.333333333333305,0.6195652173913043,False,False,True
"ORTHOPEDIC, PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES",92,5,92,92,92,0.0005703799226267236,0.0005549389567147614,-5.098880349352911e-05,0.006786257579045772,0.000707516261367556,-0.001437720675773939,0.0013357430687868806,0.00021431176505913054,-0.0030535688938879424,0.004193572506363143,0.5217391304347826,-2.8768179138113807e-05,0.0004810236182597713,0.9595879080867336,0.730769230769222,-0.7777777777777922,2.717391304347826,0.5108695652173914,False,False,True
RETAIL-VARIETY STORES,92,5,92,92,92,0.0005703799226267236,0.0005549389567147614,-0.0004545545703431458,0.02653074450414935,0.0027660213223903293,-0.005875956362228192,0.004966847221541899,6.488892156763365e-06,-0.0034226151647944792,0.002723576715362015,0.5108695652173914,0.0008317832361692335,0.00014873574615767104,0.8876873110636536,0.945454545454564,-0.08928571428568383,2.0952380952380847,0.5217391304347826,False,False,True
ROLLING DRAWING & EXTRUDING OF NONFERROUS METALS,88,5,88,88,88,0.0005455807955559965,0.0005549389567147614,0.0009769804924913516,0.012168544425463258,0.0012971711942569182,-0.001565475048252208,0.0035194360332349113,0.0017047625410002956,-0.003056665408854535,0.005470961397589464,0.6363636363636364,0.0014186828353217223,0.002790697674418534,-0.2351335596221947,0.40259740259740556,-2.375000000000149,2.079999999999984,0.6022727272727273,False,False,True
CONSTRUCTION MACHINERY & EQUIP,86,6,86,86,86,0.0005331812320206328,0.0006659267480577136,0.0016679194427196404,0.006277069215177615,0.0006768737810625329,0.0003412468318370759,0.002994592053602205,0.0008596087197066788,-0.0011124535006780318,0.005298945368917717,0.5813953488372093,0.001234875251656631,0.0003473428273705688,0.4809218657750573,0.8846153846153999,-1.2000000000000455,2.2857142857143384,0.5116279069767442,False,False,True
RETAIL-FAMILY CLOTHING STORES,86,5,86,86,86,0.0005331812320206328,0.0005549389567147614,0.0009074456054471413,0.00602865167535197,0.000650086228830758,-0.00036672340306114425,0.002181614613955427,0.0005155042570052868,-0.0034776665504974496,0.004718428778204372,0.5581395348837209,0.001907418598116421,0.002399999999999896,0.47974115172987436,0.5789473684210521,-0.3636363636363559,1.6571428571428726,0.627906976744186,False,False,True
BLANK CHECKS,85,7,85,85,85,0.0005269814502529511,0.0007769145394006659,0.0013918227287693535,0.010242347591422687,0.001110938576072567,-0.0007856168803328776,0.0035692623378715846,0.0015728365090896459,-0.00468666480725705,0.006844517460863958,0.6,0.0018961136733712408,0.0018402046165219275,0.6655597150217711,0.8695652173913035,0.18665422305179258,1.3787791257461648,0.611764705882353,False,False,True
RETAIL-DEPARTMENT STORES,85,4,85,85,85,0.0005269814502529511,0.0004439511653718091,0.003175330472013366,0.013807541268940496,0.0014976381244106254,0.00023995974816854023,0.006110701195858192,0.000509676677063118,-0.002972505879265211,0.006230066484820931,0.5529411764705883,0.00414684030162405,0.002501474926253654,0.12999477429290077,0.8106666666666645,-0.06349206349207341,1.2063492063492145,0.6235294117647059,False,True,False
BITUMINOUS COAL & LIGNITE SURFACE MINING,84,5,84,84,84,0.0005207816684852693,0.0005549389567147614,0.001840883715552499,0.00922125936269794,0.001006121881723418,-0.0001311151726254003,0.003812882603730398,0.0013458889539471224,-0.0038139932058747997,0.00789458745031576,0.5595238095238095,0.002389146475050658,0.002421090387374457,0.40706544253192184,0.7571428571428538,0.0,1.1000000000000032,0.6190476190476191,False,False,True
