ticker,ex_date,ex_ym,cash_amount,n_distributions,frequency,pay_date,record_date,declaration_date,prev_close,ex_open,ex_close,pre_avg_ret,pre_avg_abn_ret,pre_vol,pre_avg_volume,pre_avg_dollar_volume,post_avg_ret,post_avg_abn_ret,post_close,mkt_prev_close,mkt_ex_open,n_bars,n_bars_pre,n_bars_post,max_span_days,drop_ratio,drop_pct,div_yield,capture_ret,mkt_overnight_ret,capture_ret_abn,hold_ret,has_core,window_complete,window_contiguous,drop_ratio_extreme,low_yield
IBTP,2026-07-01,2026-07,0.0854,1,12,2026-07-07,2026-07-01,2026-06-30,,25.24,25.245,,,,,,-0.0010157733090388292,-0.0019029145227632178,25.1679,,745.0,4,0,3,6,,,,,,,,false,false,true,,
IGA,2026-07-01,2026-07,0.085,1,12,2026-07-15,2026-07-01,2026-06-15,,9.77,9.85,,,,,,-6.754474839580915E-4,-0.0015625886976824803,9.83,,745.0,4,0,3,6,,,,,,,,false,false,true,,
IOYY,2026-07-02,2026-07,0.15381,1,52,2026-07-07,2026-07-02,2026-07-01,8.1749,8.02,7.915,,,,19400.474852,158596.94186761478,-0.006542305483335416,-0.006837667569943158,7.76,745.76,747.4,5,1,3,6,1.0070866653663584,0.018948244015217264,0.018814909050875243,-1.3333496434202147E-4,0.0021990989058141845,-0.002332433870156206,-0.03193800535786363,true,false,true,false,false
IOYY,2026-07-31,2026-07,0.09229,1,52,2026-08-04,2026-07-31,2026-07-30,6.75,6.68,6.6889,-0.0013788902450553864,-0.002376307836809949,0.016085077279172497,26033.6736194,176334.864936697,0.003539459463847335,-0.006552365538588252,6.76,741.69,744.68,9,5,3,7,0.7584787084191168,0.010370370370370412,0.013672592592592592,0.0033022222222221795,0.004031333845676624,-7.291116234544445E-4,0.015154074074074042,true,true,true,false,false
IRVH,2026-07-01,2026-07,0.075,1,12,2026-07-07,2026-07-01,2026-01-15,,19.235,19.235,,,,,,5.953294558334784E-4,-2.9181175789091035E-4,19.2693,,745.0,4,0,3,6,,,,,,,,false,false,true,,
ISPY,2026-08-03,2026-08,0.242644,1,12,2026-08-07,2026-08-03,2026-01-20,47.96,47.78,48.15,0.0031745349361958775,4.313062983454241E-4,0.014158132005195714,58502.591107,2774973.23338194,0.0031236309617313682,-0.0016878915099426035,48.6,747.03,749.44,9,5,3,7,0.7418275333410252,0.0037531276063386097,0.00505929941618015,0.0013061718098415405,0.0032261087238800073,-0.0019199369140384668,0.01840375312760635,true,true,true,false,false
IWMI,2026-07-22,2026-07,0.625,1,12,2026-07-24,2026-07-22,2025-11-21,53.26,52.51,52.18,8.719407958386327E-4,0.0030191620779475292,0.00822532848254527,434961.9436488001,2.301855228789279E7,-8.830940425328023E-4,0.0028224963908535607,52.04,748.28,746.62,9,5,3,7,1.2,0.014081862561021405,0.011734885467517837,-0.0023469770935035674,-0.002218420911958048,-1.2855618154551923E-4,-0.01117161096507696,true,true,true,false,false
JELH,2026-07-31,2026-07,0.208958,1,12,2026-08-06,2026-07-31,2026-07-30,25.4828,25.475,25.493,3.942109407048533E-4,-6.032066510497092E-4,0.0019358646151155729,5525.85868,140911.793982868,-3.7247078475862355E-4,-0.010464295787194211,25.4643,741.69,744.68,9,5,3,7,0.037328075498423534,3.0608881284629574E-4,0.008199962327530726,0.007893873514684431,0.004031333845676624,0.0038625396690078074,0.007473982450908082,true,true,true,false,false
LEVI,2026-07-22,2026-07,0.16,1,4,2026-08-05,2026-07-22,2026-07-07,24.56,24.32,24.74,0.007491445874188873,0.00963866715629777,0.0347073564871523,2305836.2522442,5.615516864804609E7,0.010910173901382528,0.014615764334768891,25.53,748.28,746.62,9,5,3,7,1.4999999999999902,0.009771986970683976,0.006514657980456026,-0.0032573289902279494,-0.002218420911958048,-0.0010389080782699013,0.04600977198697078,true,true,true,false,false
LW,2026-08-07,2026-08,0.38,1,4,2026-09-04,2026-08-07,2026-07-23,52.05,51.86,52.27,-0.002309277473955623,-0.009478686632906325,0.014337916442660163,1498262.4320808,7.915917824979618E7,,,,768.56,771.02,6,5,0,7,0.499999999999994,0.00365033621517767,0.007300672430355428,0.0036503362151777577,0.00320079108983038,4.4954512534737786E-4,,true,false,true,false,false
MRA,2026-07-01,2026-07,0.86645,1,12,2026-07-06,2026-07-01,2026-06-30,,22.7613,22.7613,,,,,,-0.009142438523477367,-0.010029579737201755,22.132,,745.0,4,0,3,6,,,,,,,,false,false,true,,
